Inception,2010-07-15,160000000,"Leonardo DiCaprio, Dom Cobb, Joseph Gordon-Levitt, Arthur, Ken Watanabe, Saito, Tom Hardy, Eames, Elliot Page, Ariadne, Dileep Rao, Yusuf, Cillian Murphy, Robert Fischer, Jr., Tom Berenger, Peter Browning, Marion Cotillard, Mal Cobb","Action, Science Fiction, Adventure",8.364
Interstellar,2014-11-05,165000000,"Matthew McConaughey, Joseph ""Coop"" Cooper, Anne Hathaway, Dr. Amelia Brand, Jessica Chastain, Murphy ""Murph"" Cooper, Bill Irwin, TARS (voice), Ellen Burstyn, Old Murph, Michael Caine, Professor John Brand, Mackenzie Foy, Young Murph, Casey Affleck, Tom Cooper, John Lithgow, Donald","Adventure, Drama, Science Fiction",8.417
The Dark Knight,2008-07-16,185000000,"Christian Bale, Bruce Wayne / Batman, Heath Ledger, Joker, Michael Caine, Alfred Pennyworth, Gary Oldman, James Gordon, Aaron Eckhart, Harvey Dent / Two-Face, Maggie Gyllenhaal, Rachel Dawes, Morgan Freeman, Lucius Fox, Nestor Carbonell, Anthony Garcia, Monique Gabriela Curnen, Anna Ramirez","Drama, Action, Crime, Thriller",8.512
Avatar,2009-12-15,237000000,"Sam Worthington, Jake Sully, Zoe Saldaña, Neytiri, Sigourney Weaver, Dr. Grace Augustine, Stephen Lang, Colonel Miles Quaritch, Michelle Rodriguez, Trudy Chacon, Giovanni Ribisi, Parker Selfridge, Joel David Moore, Norm Spellman, CCH Pounder, Mo'at, Wes Studi, Eytukan","Action, Adventure, Fantasy, Science Fiction",7.573
The Avengers,2012-04-25,220000000,"Robert Downey Jr., Tony Stark / Iron Man, Chris Evans, Steve Rogers / Captain America, Mark Ruffalo, Bruce Banner / The Hulk, Chris Hemsworth, Thor Odinson, Scarlett Johansson, Natasha Romanoff / Black Widow, Jeremy Renner, Clint Barton / Hawkeye, Tom Hiddleston, Loki, Samuel L. Jackson, Nick Fury, Cobie Smulders, Maria Hill","Science Fiction, Action, Adventure",7.71
Deadpool,2016-02-09,58000000,"Ryan Reynolds, Wade Wilson / Deadpool, Morena Baccarin, Vanessa, Ed Skrein, Ajax, T.J. Miller, Weasel, Gina Carano, Angel Dust, Leslie Uggams, Blind Al, Brianna Hildebrand, Negasonic Teenage Warhead, Karan Soni, Dopinder, Jed Rees, Recruiter","Action, Adventure, Comedy",7.606
Avengers: Infinity War,2018-04-25,300000000,"Robert Downey Jr., Tony Stark / Iron Man, Chris Hemsworth, Thor Odinson, Mark Ruffalo, Bruce Banner / Hulk, Chris Evans, Steve Rogers / Captain America, Scarlett Johansson, Natasha Romanoff / Black Widow, Benedict Cumberbatch, Stephen Strange / Doctor Strange, Tom Holland, Peter Parker / Spider-Man, Chadwick Boseman, T'Challa / Black Panther, Don Cheadle, James 'Rhodey' Rhodes / War Machine","Adventure, Action, Science Fiction",8.255
Fight Club,1999-10-15,63000000,"Edward Norton, The Narrator, Brad Pitt, Tyler Durden, Helena Bonham Carter, Marla Singer, Meat Loaf, Robert ""Bob"" Paulson, Jared Leto, Angel Face, Zach Grenier, Richard Chesler, Holt McCallany, The Mechanic, Eion Bailey, Ricky, Richmond Arquette, Intern","Drama, Thriller, Comedy",8.438
Guardians of the Galaxy,2014-07-30,170000000,"Chris Pratt, Peter Quill / Star-Lord, Zoe Saldaña, Gamora, Dave Bautista, Drax the Destroyer, Vin Diesel, Groot (voice), Bradley Cooper, Rocket (voice), Lee Pace, Ronan the Accuser, Michael Rooker, Yondu Udonta, Karen Gillan, Nebula, Djimon Hounsou, Korath","Action, Science Fiction, Adventure",7.906
Pulp Fiction,1994-09-10,8500000,"John Travolta, Vincent Vega, Samuel L. Jackson, Jules Winnfield, Uma Thurman, Mia Wallace, Bruce Willis, Butch Coolidge, Ving Rhames, Marsellus Wallace, Harvey Keitel, Winston ""The Wolf"" Wolfe, Eric Stoltz, Lance, Tim Roth, Ringo (""Pumpkin""), Amanda Plummer, Yolanda (""Honey Bunny"")","Thriller, Crime",8.488
Forrest Gump,1994-06-23,55000000,"Tom Hanks, Forrest Gump, Robin Wright, Jenny Curran, Gary Sinise, Lieutenant Dan Taylor, Sally Field, Mrs. Gump, Mykelti Williamson, Benjamin Buford 'Bubba' Blue, Michael Conner Humphreys, Young Forrest Gump, Hanna Hall, Young Jenny Curran, Haley Joel Osment, Forrest Junior, Siobhan Fallon Hogan, School Bus Driver","Comedy, Drama, Romance",8.477
Harry Potter and the Philosopher's Stone,2001-11-16,125000000,"Daniel Radcliffe, Harry Potter, Rupert Grint, Ron Weasley, Emma Watson, Hermione Granger, Richard Harris, Albus Dumbledore, Tom Felton, Draco Malfoy, Alan Rickman, Severus Snape, Robbie Coltrane, Rubeus Hagrid, Maggie Smith, Minerva McGonagall, Richard Griffiths, Vernon Dursley","Adventure, Fantasy",7.916
Iron Man,2008-04-30,140000000,"Robert Downey Jr., Tony Stark / Iron Man, Terrence Howard, James 'Rhodey' Rhodes, Jeff Bridges, Obadiah Stane / Iron Monger, Gwyneth Paltrow, Virginia 'Pepper' Potts, Leslie Bibb, Christine Everhart, Bill Smitrovich, General Gabriel, Paul Bettany, J.A.R.V.I.S. (voice), Jon Favreau, Harold 'Happy' Hogan, Shaun Toub, Yinsen","Action, Science Fiction, Adventure",7.64
Django Unchained,2012-12-25,100000000,"Jamie Foxx, Django Freeman, Christoph Waltz, Dr. King Schultz, Leonardo DiCaprio, Calvin J. Candie, Kerry Washington, Broomhilda von Shaft, Samuel L. Jackson, Stephen, Walton Goggins, Billy Crash, Dennis Christopher, Leonide Moguy, James Remar, Butch Pooch / Ace Speck, David Steen, Mr. Stonesipher","Drama, Western",8.171
The Shawshank Redemption,1994-09-23,25000000,"Tim Robbins, Andy Dufresne, Morgan Freeman, Ellis Boyd 'Red' Redding, Bob Gunton, Warden Norton, William Sadler, Heywood, Clancy Brown, Captain Byron T. Hadley, Gil Bellows, Tommy, Mark Rolston, Bogs Diamond, James Whitmore, Brooks Hatlen, Jeffrey DeMunn, 1946 D.A.","Drama, Crime",8.702
Avengers: Endgame,2019-04-24,356000000,"Robert Downey Jr., Tony Stark / Iron Man, Chris Evans, Steve Rogers / Captain America, Mark Ruffalo, Bruce Banner / Hulk, Chris Hemsworth, Thor Odinson, Scarlett Johansson, Natasha Romanoff / Black Widow, Jeremy Renner, Clint Barton / Hawkeye, Don Cheadle, James Rhodes / War Machine, Paul Rudd, Scott Lang / Ant-Man, Benedict Cumberbatch, Stephen Strange / Doctor Strange","Adventure, Science Fiction, Action",8.263
The Matrix,1999-03-30,63000000,"Keanu Reeves, Thomas A. Anderson / Neo, Laurence Fishburne, Morpheus, Carrie-Anne Moss, Trinity, Hugo Weaving, Agent Smith, Joe Pantoliano, Cypher, Marcus Chong, Tank, Anthony Ray Parker, Dozer, Matt Doran, Mouse, Gloria Foster, Oracle","Action, Science Fiction",8.206
